Modul;Frage;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Kann die max. Herzfrequenz durch regelmässiges Ausdauertraining erhöht werden?;nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Sind die unterschiedlichen Formeln für die Bestimmung der Trainings-Herzfrequenz präzise?;nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist der optimale Herzfrequenzbereich für Grundlagenausdauertraining?;Grundlagenausdauertraining wird im Bereich von 65 % - 75 % der max. Herzfrequenz trainiert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Wie reagieren Knochen längerfristig auf physiologisch sinnvolles Krafttraining?;Der regelmässige Wechsel von Druck- und Zugbelastungen führt zu Anpassungen der Knochenstrukturen.;Hierbei kann es zu einer vermehrten Einlagerung von Kalzium und zusätzlicher Bereitstellung von Knochengrundsubstanz kommen.;Zudem richtet sich das neu aufgebaute Strukturmaterial nach der Belastungseinwirkung aus und ist somit einwirkenden Belastungskräften im wahrsten Sinne besser gewachsen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Wie reagiert hyaliner Knorpel längerfristig auf physiologisch sinnvolles Krafttraining?;Neben Zellwachstum des Knorpels wird der Stoffwechsel optimiert und sorgt somit für eine verbesserte Nährstoffversorgung des Knorpelgewebes.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Wie reagieren Sehnen längerfristig auf physiologisch sinnvolles Krafttraining?;Belastungseinwirkungen können zu erhöhter Zugfestigkeit führen.;Dies kommt sowohl durch vermehrte Einlagerung von Kollagenfasern, als auch durch widerstandsfähigere Strukturanordnung des Fasergeflechts zustande.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Wie reagieren Skelettmuskeln längerfristig auf physiologisch sinnvolles Krafttraining?;Neben dem strukturellen Aufbau und der zusätzlichen Verästellung kleinster Blutbahnen (Kapillarisierung) ist vor allem der Effekt der Muskeldickenzunahme (Hypertrophie) eine Folge des Krafttrainings.;Das Verhältnis zwischen Abbau und Aufbau (Proteinsynthese) im Muskelgewebe wird positiv beeinflusst, was zu verstärktem Muskelwachstum führt.;Eine Muskelquerschnittsvergrösserung ergibt sich aus einer Dickenzunahme der einzelnen Muskelfasern, dabei werden vermehrt kontraktile Elemente in den einzelnen Myofibrillen eingebaut.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Wie wächst ein Muskel?;Es werden vermehrt kontraktile Elemente in den einzelnen Myofibrillen eingebaut.;Muskeln verfügen über sog. Satellitenzellen, welche am Rand der einzelnen Muskelfasern zu finden sind. ;Sie sind normalerweise untätig und werden erst zu Reparaturzwecken oder für Muskelwachstum aktiviert.;In diesem Fall vermehren (teilen) sich die Satellitenzellen. Die so entstehenend Tochterzellen werden dann für den (Wieder-) Aufbau der Proteinstrukturen verwendet. ;Sie vereinigen sich dabei mit den schon bestehenden Muskelzellen, wobei auch der Zellkern übergeht. Es werden also bei der Hypertrophie nicht neue Muskelfasern geschaffen, sondern die Anzahl und Grösse der kontraktilen Proteine in den Myofibrillen resp. Muskelfasern wird erhöht.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist Hyperplasie?;eine Muskelzellvermehrung;Diese wurde bisher nur im Labor-Tierversuch nachgewiesen und kann für den Menschen nicht ohne weiteres angenommen werden.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist allgemeine (Muskel-) Ausdauer?;Ermüdungswiderstandsfähigkeit bei Belastungen welche den Körper mehrheitlich als Ganzes betreffen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist lokale (Muskel-) Ausdauer?;Ermüdungswiderstandsfähigkeit der Belastung einzelner Körperbereiche (max. 1/6 der gesamten Skelettmuskulatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was sind die 4 wichtigsten Regeln für einen Kunden mit dem Ziel Gewichtsreduktion?;regelmässiges gesteuertes Ausdauertraining;effizientes, muskelaufbauendes Training;kontrollierte, ausgewogene Ernährung mit negativer Kalorienbilanz und aktivem Stoffwechsel;keine Radikaldiäten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Nach welchen Überlegungen sollte die Abfolge einer Trainingseinheit gestaltet werden?;Je höher der koordinative, neuromuskuläre Anspruch einer Teileinheit, desto früher im Training sollte sie umgesetzt werden. ;Gleiches gilt in Bezug auf die Übungsfolgen innerhalb der Teileinheiten.;Aufwärmen inkl. Koordinationsübungen, Krafteinheiten evt. Ausdauereinheit, Abwärmen inkl. Nachdehnen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was sind die Ziele des Aufwärmens vor dem Krafttraining?;Die Vorbereitung des Organismus auf die kommenden Belastungen und somit die Erstellung der physischen und psychischen Leistungsbereitschaft.;Eine verbesserte Durchblutung der Körpergewebe (bessere Versorgung mit Sauerstoff und Nährstoffen, Stoffwechselvorgänge können ökonomischer und schnelle ablaufen).;Die Körper -(Kern) Temperatur wird erhöht (Blut und Gewebeflüssigkeiten werden dünnflüssiger, die Elastizität in den Körpergeweben nimmt zu), Bsp. im Muskel. ;Beteiligte Gelenke werden 'geschmiert', verringerte Reibung durch die beweglichen Teile (Knochenenden) in den Gelenken und in ihrer Puffer-Funktion optimiert (Schwamm-Effekt).;Die neurale Impulsgeschwindigkeit und auch die Kontraktionsgeschwindigkeit der Muskulatur nimmt zu.;Der Symathicus wird aktiver und es kommt zu einer vermehrten hormonellen Ausschüttung (z.B. Noradrenalin), welche die Systemumstellung auf Leistung unterstützt;Reduktion des Verletzungsrisikos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist der Sinn von sogenannten Aufwärmsätzen?;Um optimal auf Belastungen vorbereitet zu sein, benötigen Gelenke Bewegung (Mobilisation).;Neben der Leistungsvorbereitung des Bewegungsapparates wird auch die mentale Fokussierung und die Feinabstimmung des neuromuskulären Systems gefördert.;Die Konzentration auf einen spezifischen Bewegungsablauf wird erhöht und das positive Gefühl in Bezug auf die kommende Anstrengung unterstützt.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;In welche Teilaspekte kann das Aufwärmen unterteilt werden?;allgemenes und spezielles Aufwärmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Wie wird ein allgemeines Aufwärmen gestaltet?;10 min Bewegung bei mittlerer Intensität auf einem geeigneten Ausdauergerät (nach individuellen Voraussetzungen und Einschränkungen).;Optimalerweise wird ein Gerät gewählt, bei dem möglichst der ganze Körper in der Bewegung aktiviert ist.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist das spezielle Aufwärmen?;Dieses orientiert sich an den unterschiedlichen persönlichen Grundvoraussetzungen im Hinblick auf ein folgendes Training - zusätzliche Mobilisations- und koordinationsübungen, gegebenenfalls (sportspezifisches dynamisches) Vordehnen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Welche Punkte müssen bei der koordinativen Vorbereitung im Rahmen eines speziellen Aufwärmens beachtet werden?;5 - 10 min Dauer genügen;Übungen optimalerweise ohne Schuhe ausführen;wenn möglich labile Unterlagen verwenden;Übungen abbrechen bei mangelnder Konzentration;jede Übung mehrmals wiederholen;auf Körperhaltung und Atmung achten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Nach welchem Grundsatz der Belastungsfolge sollte eine gemischt-konditionelle Trainingseinheit aufgebaut werden?;Je höher der koordinative, neuromuskuläre Anspruch einer Teileinheit, desto früher im Training sollte sie umgesetzt werden. ;Gleiches gilt in Bezug auf die Übungsfolgen innerhalb der Teileinheiten.;Für eine Krafttrainingseinheit heisst dies: Aufwärmen inkl. Koordinationsübungen, Krafteinheit, evt. Ausdauereinheit, Abwärmen und Nachdehnen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist die ideale Reihenfolge von Koordination, Ausdauer, Beweglichkeit und Kraft;Je höher der koordinative, neuromuskuläre Anspruch einer Teileinheit, desto früher im Training sollte sie umgesetzt werden, damit das System optimal reagieren kann.;Koordination vor Kraft, Kraft vor Ausdauer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Nach welchen Prinzipien kann der Krafttrainingsteil einer Trainingseinheit gestaltet werden?;Koordinativ anspruchsvollere Übungen (Bsp. freie Kniebeugen) sollten den einfacheren geführten Übungen vorangehen.;Grössere Muskelgruppen (Bsp. Beine) sollten vor den kleineren (Bsp. Arme) trainiert werden.;Je nach individueller Priorität oder körperlichen Defiziten können wichtigere vor weniger wichtigen Muskelgruppen trainiert werden (Bsp. unterentwickelte Rumpfmuskulatur zu Beginn des Trainings).;Unter haltungsorientierten Aspekten betrachet macht es Sinn, das Übungsprogramm mit einer öffnenden Übung zu beenden (Bsp. Hyperextension anstatt Bauch-Crunch).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist der Sinn eines Cool-Down (Abwärmen) nach einer Trainingseinheit?;schnellere Systemwiederherstellung = aktive Regeneration;Muskulatur kann optimal mit Nährstoffen und Sauerstoff versorgt werden, Stoffwechselprodukte können besser abtransportiert werden (Bsp. Laktatabbau).;evt. Notwendige Reparaturprozesse (Bsp. für muskuläre Mikrotraumen) können von Beginn weg optimiert ablaufen;Herz-Kreislaufsystem wird beruhigt und die Körperfunktionen können optimal langsam und kontrolliert auf ein tieferes Anspruchsniveau zurückgebracht werden;Ausgeschüttete Leistungshormone (Adrenalin, Noradrenalin) werden schneller beseitigt.;Cool down' dient auch dem mentalen Übergang von Leistung zu Erholung.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was kann ein Cool-Down (Abwärmen) nach einer Trainingseinheit nicht bewirken?;Muskelkater vermeiden und Fettverbrennung verstärken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Beschreibe eine allgemeine Trainingseinheit in einem Krafttrainings-Einsteigerprogramm;8 - 10 min Aufwärmen;5 - 10 min aerobe Energiebereitstelltung, optimalerweise Ganzkörperaktivitat durch koordinative Übungen;30- 45 min Kraftausdauer- oder Hypertrophiemethode, jeweils 2 Sätze für den Lerneffekt, Ganzkörpertraining mit 6 - 8 Übungen (Hauptbeweger plus Rumpfstabilität, Training nicht bis zur vollständigen subjektiven Ausbelastung;evt. 20 - 40 min Ausdauereinheit mit Intensität entsprechend individuellen Voraussetzungen;10 - 15 min Abwärmen für aerobe Energiebereitstellung, optimalerweise Ganzkörperaktivität. (Die Dauer kann nach vorausgehendem Ausdauerteil auf 5 -10 min reduziert werden;Nachdehnen der Pflichdehnbereiche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was bedeutet die PECH-Formel? ;Erste Hilfe Massnahmen;Pause (Belastung aussetzen);Eis (Kühlen in Intervallen);Compression (Druck verhindert Schwellung);Hochlagern (fördert Blutrückfluss);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Welche Muskeln sind beim Ausführen der Schulterpresse beteiligt?;M. trizeps brachii und M. deltoideus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was ist Training?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was ist die konzentrische Kontraktion?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was ist die exzentrische (negativ, dynamisch, nachgebend) Kontraktion?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was ist die isometrische Kontraktion?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was ist die auxotonische Kontraktion?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was passiert bei statische Haltearbeit ab 50% der max. aufwendbaren Kraft?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was lässt sich über die Gewichtskraft F sagen? Formel?;F = m x g (Masse x Gewicht);Gewichtskraft einer 100 kg Hantel ist 1000 Newton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Nenne dasTrägheitsgesetz;Körper verharrt in Ruhe oder gleichförmiger Bewegung solange keine äusseren Kräfte einwirken;= 1. Newtonsches Gesetz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was ist Arbeit?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was ist Druck?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was ist Drehmoment?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was besagt das Hebelgesetz?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Wie können progressive Belastungen gestaltet werden?;allmählich steigend oder sprunghaft steigend;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was benötigt ein Muskel um Leistung zu vollbringen?;Energie und einen Impuls;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Erkläre das Prinzip des trainingswirksamen Reizes;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Einteilung betreffend korrekter Trainingsreizsetzung (in Abfolge von Reizsetzung, Effekt und Belastung);Unterschwellig - unterfordernd, wirkungslos - zu tief;schwach - funktionserhaltend - wenig zu tief;überschwellig - fordernd, funktionsverbessernd - optimal;zu stark überschwellig - überfordernd, funktionsschädigend - zu gross;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was beschreibt das Prinzip der progressiven Belastung?;Wirken Trainingsreize über längere Zeit mit absolut gleichbleibender Intensität auf den Körper ein, führt dies nicht mehr zu Leistungssteigerung, weil sich der Organismus bereits darauf eingestellt und dementsprechend angepasst hat.;Es ist also notwendig, die Belastung im Training über Zeit den neuen individuellen Gegebenheiten und dem aktuellen Leistungsniveau anzupassen.;Um eine kontinuierliche Leistungssteigerung zu bewirken müssen die Trainingsreize kontinuierlich angepasst und variiert werden.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was beschreibt das Prinzip der optimalen Belastung und Erholung?;Dies ist das Prinzip der Superkompensation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was beschreibt das Prinzip der regelmässigen Belastung?;Um strukturelle Veränderung zu erreichen, müssen wirksame Belastungsreize über längere Zeit regelmässig gesetzt werden.;Erst dies führt zu stabilen Anpassungen resp. zu Adaption.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Warum ist es auch sinnvoll 'nur' einmal por Woche statt kein Mal ein Krafttraining durchzuführen?;Spätestens ab 30 sinkt die individuelle Leistungskurve langsam aber stetig. ;Ein Training einmal / Woche kann zumindest helfen, die aktuelle Leistungsfähigkeit möglichst lange aufrecht zu erhalten und weniger rapide sinken zu lassen (Alterungsprozess);Ein Training pro Woche kann als aktive Altersvorsorge bezeichnet werden.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was beschreibt das Prinzip der spezifischen Anpassung?;Der Körper richtet seine Anpassung aus auf den einwirkenden Reiz.;Systemverbesserung orientiert sich an der gestellten Aufgabe.;Um besser Fussball spielen zu können muss Fussball trainiert werden und nicht Ballett.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Nenne die Elemente der Belastung im Krafttraining?;Belastungsintensität;Belastungsdauer;Belastungsumfang;Belastungsdichte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was beschreibt das Prinzip der Variation der Trainingsbelastung?;Um kontinuierlich Verbesserungen zu erlangen muss die Belastung regelmässig variiert und das Training dynamisch und flexibel gestaltet werden.;Variationen nicht nur möglich bezüglich Belastungsintensität, sondern auch bezüglich Zeit unter Belastung, Bewegungsgeschwindigkeit, Trainingsinhalte (Übungsvariationen) und -Methoden.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was ist die Belastungsintensität?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was ist die Belastungsausdauer?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was ist der Belastungsumfang?;Der Belastungsumfang eines einzelnen Satzes rechnet sich aus der Anzahl Wiederholungen mal dem bewegten Gewicht.;Der einer Übung zusätzlich mal Anzahl absolvierter Sätze.;Nimmt man die Resultate aller in einer Trainingseinheit durchgeführten Übungen zusammen, ergibt sich der Gesamtumfang.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was ist die Belastungsdichte?;Verhältnis zwischen Belastung und Pause;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Welche Auswirkungen zeigt die Ermüdung im Training?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was beschreibt das Prinzip der Periodisierung?;Der Körper benötigt einen regelmässigen Wechsel von Stabilität (gleiches Trainingsprogramm über gewisse Zeit) und Variationen, um eine optimale Leistungsverbesserung zu produzieren.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was spricht dafür eine Trainingsprogramm zwei Monate beizubehalten und nicht in jedem Training andere Übungen zu machen?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Unterschiedliche Systeme im Körper benötigen unterschiedliche lange für Trainingsanpassungen. Ordne die Struktur, mit dem sich am schnellst erholenden bis zum langsamsten erholenden (1 - 5);wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Warum ist ein übermässig schneller Muskelaufbau für den menschlichen Organismus problematisch (nicht unproblematisch)?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Welches sind mögliche Symptome eines Übertrainings?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Welches sind innere und äussere Faktoren, die für individuelle Leistungsfähigkeit und Trainingsgestaltung ausschlaggebend sind?;Alter;mögliche körperliche Einschränkungen;Energiezustand;Motivation und mentale Einstellung;emotionales Befinden;Ernährung;Schlaf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was bedeutet der Begriff Senso-Motorik?;Die Wahrnehmungsfähigkeit gekoppelt mir der Bewegungssteuerungsfähigkeit;= Afferenz-Efferenz-Feedback;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was bedeutet sensomotorische Training?;Sensorik = Reizaufnahme über Rezeptoren und deren Weiterleitung und Verarbeitung zum bzw. im ZNS;Motorik = Antwort auf die Signale vom ZNS an die Muskulatur und deren Umsetzung in Bewegung;Training = Leistungsverbesserung durch gezielte Übungen (sensomotorische Zusatzreize);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Welche Methoden des fitness- und gesundheitsorientierten Krafttrainings kennst du?;Kraftausdauertraining;Hypertrophietraining;Intramuskuläres Koordinationstraining (IK-Training);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Wodurch unterscheiden sich die drei Methoden des fitness- und gesundheitsorientierten Krafttrainings grundlegend?;durch die Spannungsdauer der Muskulatur;Kraftausdauertraining (90 - 180 s);Hypertrophietraining (20 - 90 s);Intramuskuläres Koordinationstraining (IK-Training) (-20 s);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Welche Merkmale zeichnen ein Kraftausdauertraining aus?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was bringt ein Kraftausdauertraining?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Welche Merkmale zeichnen ein Hypertrophietraining aus?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Welche Merkmale zeichnen ein IK-Training (Intramuskuläres Koordinationstrainig) aus?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was ist Maximalkrafttraining?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was bringt ein Hypertrophietraining?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was bringt ein IK-Training?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was ist das Pyramidentraining?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was bringt Pyramidentraining?;Kann genutzt werden, um den Organismus auf Belastungsveränderungen vorzubereiten.;Es ist somit ein schonender und fliessender Übergang von einer Trainingsmethode in die andere möglich (Bsp. Von Hypertrophie- zu IK-Training);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Welche Richtwerte können für die Erholungszeit nach Krafttraining angegeben werden?;wiederholte Fragen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was sind Zyklen im Krafttraining?;Die einzelnen Planungsphasen der Periodisierung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was ist Periodisierung im Krafttraining?;Die Planung über längere Zeit hinweg, meist auf ein bestimmtes Ziel hin ausgerichtet (Bsp. Wettkampfereignis);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was ist ein Makrozyklus?;Die einzelnen Planungsphasen der Periodisierung;Ein Makrozyklus entspricht der Grobplanung und definiert einen Zeitraum von etwa 6 - 12 Monaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was ist ein Mesozyklus?;Eine einzelne Planungsphase der Periodisierung, welche jeweils rund 4 - 6 Wochen dauert.;Mehrere Mesozyklen können zu einem Makrozyklus zusammengefasst werden und bestehen ihrerseits aus kleineren Mikrozyklen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was ist ein Mikrozyklus?;Eine einzelne Planungsphase der Periodisierung, welche jeweils den Trainingsaufwand einer Woche abdeckt.;Mehrere Mikrozyklen können zu einem Mesozyklus zusammengefasst werden.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Wie werden die einzelnen Krafttrainingsmethoden sinnvollerweise periodisiert?;Zyklus, Trainingsmethode, Dauer, Intensität;Mesozyklus 1: Kraftausdauertraining 4 - 6 Wochen mittel;Mesozyklus 2: Hypertrophietraining 6 - 8 Wochen mittel bis hoch;Mesozyklus 3: IK-Training 2 - 4 Wochen hoch (bis sehr hoch);Mesozyklus 4: Ausdauertraining, leichtes Hypertrophietraining;Übergangsphase 1 - 2 Wochen leicht bis mittel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Wozu dient Trainingssteuerung?;Der Abstimmung aller relevanten Einflussfaktoren mit den Bedürfnissen, Voraussetzungen und Zielen der Trainierenden.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Welche Elemente finden sich im Prozess der Trainingssteuerung?;Standortbestimmung;Zielsetzung;Trainingsplanung;Trainingsdurchführung;Trainingskontrolle;Trainingsauswertung;Standortbestimmung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Wozu dienen Tests im Fitnesscenter?;Feststellung des körperlichen Funktions- und Fitnessstatus zur Einstellung individueller Trainingspläne;zur Feststellung der Fortschritte (Re-Tests);zur Korrektur aktueller Trainingsplanung;zur Neuerstellung von Trainingsplänen (neue Ziele);Motivation der Mitglieder (bei erreichbaren Zielen);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Wozu dient die Standortbestimmung im Prozess der Trainingssteuerung?;Im gemeinsamen Gespräch mit dem Kunden werden die notwendigen Punkte geklärt, welche die Voraussetzung für die Trainingsplanung bilden (Gesundheitsfragen, Erfahrungen etc.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Workout Coach;Was ist der Sinn von Trainingskontrollen?;Sicherstellung des angestrebten Trainingserfolgs;Überprüfung der ursprünglich geplanten Ziele;Kontrolle der Trainingswirkungen (Re-Tests);Rückblickende Analyse des Trainingsverlaufs;Anpassungen für weitergehende Trainingsplanung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
